😀	grinning	grinning,grinning_face
🤼🏽‍♀️	women_wrestling_medium_skin_tone	women_wrestling_medium_skin_tone
🤼🏾‍♀️	women_wrestling_medium_dark_skin_tone	women_wrestling_medium_dark_skin_tone
🤼🏿‍♀️	women_wrestling_dark_skin_tone	women_wrestling_dark_skin_tone
🧑🏻‍🫯‍🧑🏼	people_wrestling_light_skin_tone_medium_light_skin_tone	people_wrestling_light_skin_tone_medium_light_skin_tone
🧑🏻‍🫯‍🧑🏽	people_wrestling_light_skin_tone_medium_skin_tone	people_wrestling_light_skin_tone_medium_skin_tone
🧑🏻‍🫯‍🧑🏾	people_wrestling_light_skin_tone_medium_dark_skin_tone	people_wrestling_light_skin_tone_medium_dark_skin_tone
🧑🏻‍🫯‍🧑🏿	people_wrestling_light_skin_tone_dark_skin_tone	people_wrestling_light_skin_tone_dark_skin_tone
🧑🏼‍🫯‍🧑🏻	people_wrestling_medium_light_skin_tone_light_skin_tone	people_wrestling_medium_light_skin_tone_light_skin_tone
🧑🏼‍🫯‍🧑🏽	people_wrestling_medium_light_skin_tone_medium_skin_tone	people_wrestling_medium_light_skin_tone_medium_skin_tone
🧑🏼‍🫯‍🧑🏾	people_wrestling_medium_light_skin_tone_medium_dark_skin_tone	people_wrestling_medium_light_skin_tone_medium_dark_skin_tone
🧑🏼‍🫯‍🧑🏿	people_wrestling_medium_light_skin_tone_dark_skin_tone	people_wrestling_medium_light_skin_tone_dark_skin_tone
🧑🏽‍🫯‍🧑🏻	people_wrestling_medium_skin_tone_light_skin_tone	people_wrestling_medium_skin_tone_light_skin_tone
🧑🏽‍🫯‍🧑🏼	people_wrestling_medium_skin_tone_medium_light_skin_tone	people_wrestling_medium_skin_tone_medium_light_skin_tone
🧑🏽‍🫯‍🧑🏾	people_wrestling_medium_skin_tone_medium_dark_skin_tone	people_wrestling_medium_skin_tone_medium_dark_skin_tone
🧑🏽‍🫯‍🧑🏿	people_wrestling_medium_skin_tone_dark_skin_tone	people_wrestling_medium_skin_tone_dark_skin_tone
🧑🏾‍🫯‍🧑🏻	people_wrestling_medium_dark_skin_tone_light_skin_tone	people_wrestling_medium_dark_skin_tone_light_skin_tone
🧑🏾‍🫯‍🧑🏼	people_wrestling_medium_dark_skin_tone_medium_light_skin_tone	people_wrestling_medium_dark_skin_tone_medium_light_skin_tone
🧑🏾‍🫯‍🧑🏽	people_wrestling_medium_dark_skin_tone_medium_skin_tone	people_wrestling_medium_dark_skin_tone_medium_skin_tone
🧑🏾‍🫯‍🧑🏿	people_wrestling_medium_dark_skin_tone_dark_skin_tone	people_wrestling_medium_dark_skin_tone_dark_skin_tone
🧑🏿‍🫯‍🧑🏻	people_wrestling_dark_skin_tone_light_skin_tone	people_wrestling_dark_skin_tone_light_skin_tone
🧑🏿‍🫯‍🧑🏼	people_wrestling_dark_skin_tone_medium_light_skin_tone	people_wrestling_dark_skin_tone_medium_light_skin_tone
🧑🏿‍🫯‍🧑🏽	people_wrestling_dark_skin_tone_medium_skin_tone	people_wrestling_dark_skin_tone_medium_skin_tone
🧑🏿‍🫯‍🧑🏾	people_wrestling_dark_skin_tone_medium_dark_skin_tone	people_wrestling_dark_skin_tone_medium_dark_skin_tone
👨🏻‍🫯‍👨🏼	men_wrestling_light_skin_tone_medium_light_skin_tone	men_wrestling_light_skin_tone_medium_light_skin_tone
👨🏻‍🫯‍👨🏽	men_wrestling_light_skin_tone_medium_skin_tone	men_wrestling_light_skin_tone_medium_skin_tone
👨🏻‍🫯‍👨🏾	men_wrestling_light_skin_tone_medium_dark_skin_tone	men_wrestling_light_skin_tone_medium_dark_skin_tone
👨🏻‍🫯‍👨🏿	men_wrestling_light_skin_tone_dark_skin_tone	men_wrestling_light_skin_tone_dark_skin_tone
👨🏼‍🫯‍👨🏻	men_wrestling_medium_light_skin_tone_light_skin_tone	men_wrestling_medium_light_skin_tone_light_skin_tone
👨🏼‍🫯‍👨🏽	men_wrestling_medium_light_skin_tone_medium_skin_tone	men_wrestling_medium_light_skin_tone_medium_skin_tone
👨🏼‍🫯‍👨🏾	men_wrestling_medium_light_skin_tone_medium_dark_skin_tone	men_wrestling_medium_light_skin_tone_medium_dark_skin_tone
👨🏼‍🫯‍👨🏿	men_wrestling_medium_light_skin_tone_dark_skin_tone	men_wrestling_medium_light_skin_tone_dark_skin_tone
👨🏽‍🫯‍👨🏻	men_wrestling_medium_skin_tone_light_skin_tone	men_wrestling_medium_skin_tone_light_skin_tone
👨🏽‍🫯‍👨🏼	men_wrestling_medium_skin_tone_medium_light_skin_tone	men_wrestling_medium_skin_tone_medium_light_skin_tone
👨🏽‍🫯‍👨🏾	men_wrestling_medium_skin_tone_medium_dark_skin_tone	men_wrestling_medium_skin_tone_medium_dark_skin_tone
👨🏽‍🫯‍👨🏿	men_wrestling_medium_skin_tone_dark_skin_tone	men_wrestling_medium_skin_tone_dark_skin_tone
👨🏾‍🫯‍👨🏻	men_wrestling_medium_dark_skin_tone_light_skin_tone	men_wrestling_medium_dark_skin_tone_light_skin_tone
👨🏾‍🫯‍👨🏼	men_wrestling_medium_dark_skin_tone_medium_light_skin_tone	men_wrestling_medium_dark_skin_tone_medium_light_skin_tone
👨🏾‍🫯‍👨🏽	men_wrestling_medium_dark_skin_tone_medium_skin_tone	men_wrestling_medium_dark_skin_tone_medium_skin_tone
👨🏾‍🫯‍👨🏿	men_wrestling_medium_dark_skin_tone_dark_skin_tone	men_wrestling_medium_dark_skin_tone_dark_skin_tone
👨🏿‍🫯‍👨🏻	men_wrestling_dark_skin_tone_light_skin_tone	men_wrestling_dark_skin_tone_light_skin_tone
👨🏿‍🫯‍👨🏼	men_wrestling_dark_skin_tone_medium_light_skin_tone	men_wrestling_dark_skin_tone_medium_light_skin_tone
👨🏿‍🫯‍👨🏽	men_wrestling_dark_skin_tone_medium_skin_tone	men_wrestling_dark_skin_tone_medium_skin_tone
👨🏿‍🫯‍👨🏾	men_wrestling_dark_skin_tone_medium_dark_skin_tone	men_wrestling_dark_skin_tone_medium_dark_skin_tone
👩🏻‍🫯‍👩🏼	women_wrestling_light_skin_tone_medium_light_skin_tone	women_wrestling_light_skin_tone_medium_light_skin_tone
👩🏻‍🫯‍👩🏽	women_wrestling_light_skin_tone_medium_skin_tone	women_wrestling_light_skin_tone_medium_skin_tone
👩🏻‍🫯‍👩🏾	women_wrestling_light_skin_tone_medium_dark_skin_tone	women_wrestling_light_skin_tone_medium_dark_skin_tone
👩🏻‍🫯‍👩🏿	women_wrestling_light_skin_tone_dark_skin_tone	women_wrestling_light_skin_tone_dark_skin_tone
👩🏼‍🫯‍👩🏻	women_wrestling_medium_light_skin_tone_light_skin_tone	women_wrestling_medium_light_skin_tone_light_skin_tone
👩🏼‍🫯‍👩🏽	women_wrestling_medium_light_skin_tone_medium_skin_tone	women_wrestling_medium_light_skin_tone_medium_skin_tone
👩🏼‍🫯‍👩🏾	women_wrestling_medium_light_skin_tone_medium_dark_skin_tone	women_wrestling_medium_light_skin_tone_medium_dark_skin_tone
👩🏼‍🫯‍👩🏿	women_wrestling_medium_light_skin_tone_dark_skin_tone	women_wrestling_medium_light_skin_tone_dark_skin_tone
👩🏽‍🫯‍👩🏻	women_wrestling_medium_skin_tone_light_skin_tone	women_wrestling_medium_skin_tone_light_skin_tone
👩🏽‍🫯‍👩🏼	women_wrestling_medium_skin_tone_medium_light_skin_tone	women_wrestling_medium_skin_tone_medium_light_skin_tone
👩🏽‍🫯‍👩🏾	women_wrestling_medium_skin_tone_medium_dark_skin_tone	women_wrestling_medium_skin_tone_medium_dark_skin_tone
👩🏽‍🫯‍👩🏿	women_wrestling_medium_skin_tone_dark_skin_tone	women_wrestling_medium_skin_tone_dark_skin_tone
👩🏾‍🫯‍👩🏻	women_wrestling_medium_dark_skin_tone_light_skin_tone	women_wrestling_medium_dark_skin_tone_light_skin_tone
👩🏾‍🫯‍👩🏼	women_wrestling_medium_dark_skin_tone_medium_light_skin_tone	women_wrestling_medium_dark_skin_tone_medium_light_skin_tone
👩🏾‍🫯‍👩🏽	women_wrestling_medium_dark_skin_tone_medium_skin_tone	women_wrestling_medium_dark_skin_tone_medium_skin_tone
👩🏾‍🫯‍👩🏿	women_wrestling_medium_dark_skin_tone_dark_skin_tone	women_wrestling_medium_dark_skin_tone_dark_skin_tone
👩🏿‍🫯‍👩🏻	women_wrestling_dark_skin_tone_light_skin_tone	women_wrestling_dark_skin_tone_light_skin_tone
👩🏿‍🫯‍👩🏼	women_wrestling_dark_skin_tone_medium_light_skin_tone	women_wrestling_dark_skin_tone_medium_light_skin_tone
👩🏿‍🫯‍👩🏽	women_wrestling_dark_skin_tone_medium_skin_tone	women_wrestling_dark_skin_tone_medium_skin_tone
👩🏿‍🫯‍👩🏾	women_wrestling_dark_skin_tone_medium_dark_skin_tone	women_wrestling_dark_skin_tone_medium_dark_skin_tone
🤽	person_playing_water_polo	person_playing_water_polo,water_polo
🤽🏻	person_playing_water_polo_tone1	person_playing_water_polo_tone1,water_polo_tone1
🤽🏼	person_playing_water_polo_tone2	person_playing_water_polo_tone2,water_polo_tone2
🤽🏽	person_playing_water_polo_tone3	person_playing_water_polo_tone3,water_polo_tone3
🤽🏾	person_playing_water_polo_tone4	person_playing_water_polo_tone4,water_polo_tone4
🤽🏿	person_playing_water_polo_tone5	person_playing_water_polo_tone5,water_polo_tone5
🤽‍♂️	man_playing_water_polo	man_playing_water_polo
🤽🏻‍♂️	man_playing_water_polo_tone1	man_playing_water_polo_tone1,man_playing_water_polo_light_skin_tone
🤽🏼‍♂️	man_playing_water_polo_tone2	man_playing_water_polo_tone2,man_playing_water_polo_medium_light_skin_tone
🤽🏽‍♂️	man_playing_water_polo_tone3	man_playing_water_polo_tone3,man_playing_water_polo_medium_skin_tone
🤽🏾‍♂️	man_playing_water_polo_tone4	man_playing_water_polo_tone4,man_playing_water_polo_medium_dark_skin_tone
🤽🏿‍♂️	man_playing_water_polo_tone5	man_playing_water_polo_tone5,man_playing_water_polo_dark_skin_tone
🤽‍♀️	woman_playing_water_polo	woman_playing_water_polo
🤽🏻‍♀️	woman_playing_water_polo_tone1	woman_playing_water_polo_tone1,woman_playing_water_polo_light_skin_tone
🤽🏼‍♀️	woman_playing_water_polo_tone2	woman_playing_water_polo_tone2,woman_playing_water_polo_medium_light_skin_tone
🤽🏽‍♀️	woman_playing_water_polo_tone3	woman_playing_water_polo_tone3,woman_playing_water_polo_medium_skin_tone
🤽🏾‍♀️	woman_playing_water_polo_tone4	woman_playing_water_polo_tone4,woman_playing_water_polo_medium_dark_skin_tone
🤽🏿‍♀️	woman_playing_water_polo_tone5	woman_playing_water_polo_tone5,woman_playing_water_polo_dark_skin_tone
🤾	person_playing_handball	person_playing_handball,handball
🤾🏻	person_playing_handball_tone1	person_playing_handball_tone1,handball_tone1
🤾🏼	person_playing_handball_tone2	person_playing_handball_tone2,handball_tone2
🤾🏽	person_playing_handball_tone3	person_playing_handball_tone3,handball_tone3
🤾🏾	person_playing_handball_tone4	person_playing_handball_tone4,handball_tone4
🤾🏿	person_playing_handball_tone5	person_playing_handball_tone5,handball_tone5
🤾‍♂️	man_playing_handball	man_playing_handball
🤾🏻‍♂️	man_playing_handball_tone1	man_playing_handball_tone1,man_playing_handball_light_skin_tone
🤾🏼‍♂️	man_playing_handball_tone2	man_playing_handball_tone2,man_playing_handball_medium_light_skin_tone
🤾🏽‍♂️	man_playing_handball_tone3	man_playing_handball_tone3,man_playing_handball_medium_skin_tone
🤾🏾‍♂️	man_playing_handball_tone4	man_playing_handball_tone4,man_playing_handball_medium_dark_skin_tone
🤾🏿‍♂️	man_playing_handball_tone5	man_playing_handball_tone5,man_playing_handball_dark_skin_tone
🤾‍♀️	woman_playing_handball	woman_playing_handball
🤾🏻‍♀️	woman_playing_handball_tone1	woman_playing_handball_tone1,woman_playing_handball_light_skin_tone
🤾🏼‍♀️	woman_playing_handball_tone2	woman_playing_handball_tone2,woman_playing_handball_medium_light_skin_tone
🤾🏽‍♀️	woman_playing_handball_tone3	woman_playing_handball_tone3,woman_playing_handball_medium_skin_tone
🤾🏾‍♀️	woman_playing_handball_tone4	woman_playing_handball_tone4,woman_playing_handball_medium_dark_skin_tone
🤾🏿‍♀️	woman_playing_handball_tone5	woman_playing_handball_tone5,woman_playing_handball_dark_skin_tone
🤹	person_juggling	person_juggling,juggling,juggler
🤹🏻	person_juggling_tone1	person_juggling_tone1,juggling_tone1,juggler_tone1
🤹🏼	person_juggling_tone2	person_juggling_tone2,juggling_tone2,juggler_tone2
🤹🏽	person_juggling_tone3	person_juggling_tone3,juggling_tone3,juggler_tone3
🤹🏾	person_juggling_tone4	person_juggling_tone4,juggling_tone4,juggler_tone4
🤹🏿	person_juggling_tone5	person_juggling_tone5,juggling_tone5,juggler_tone5
🤹‍♂️	man_juggling	man_juggling
🤹🏻‍♂️	man_juggling_tone1	man_juggling_tone1,man_juggling_light_skin_tone
🤹🏼‍♂️	man_juggling_tone2	man_juggling_tone2,man_juggling_medium_light_skin_tone
🤹🏽‍♂️	man_juggling_tone3	man_juggling_tone3,man_juggling_medium_skin_tone
🤹🏾‍♂️	man_juggling_tone4	man_juggling_tone4,man_juggling_medium_dark_skin_tone
🤹🏿‍♂️	man_juggling_tone5	man_juggling_tone5,man_juggling_dark_skin_tone
🤹‍♀️	woman_juggling	woman_juggling
🤹🏻‍♀️	woman_juggling_tone1	woman_juggling_tone1,woman_juggling_light_skin_tone
🤹🏼‍♀️	woman_juggling_tone2	woman_juggling_tone2,woman_juggling_medium_light_skin_tone
🤹🏽‍♀️	woman_juggling_tone3	woman_juggling_tone3,woman_juggling_medium_skin_tone
🤹🏾‍♀️	woman_juggling_tone4	woman_juggling_tone4,woman_juggling_medium_dark_skin_tone
🤹🏿‍♀️	woman_juggling_tone5	woman_juggling_tone5,woman_juggling_dark_skin_tone
🧘	person_in_lotus_position	person_in_lotus_position
🧘🏻	person_in_lotus_position_tone1	person_in_lotus_position_tone1,person_in_lotus_position_light_skin_tone
🧘🏼	person_in_lotus_position_tone2	person_in_lotus_position_tone2,person_in_lotus_position_medium_light_skin_tone
🧘🏽	person_in_lotus_position_tone3	person_in_lotus_position_tone3,person_in_lotus_position_medium_skin_tone
🧘🏾	person_in_lotus_position_tone4	person_in_lotus_position_tone4,person_in_lotus_position_medium_dark_skin_tone
🧘🏿	person_in_lotus_position_tone5	person_in_lotus_position_tone5,person_in_lotus_position_dark_skin_tone
🧘‍♂️	man_in_lotus_position	man_in_lotus_position
🧘🏻‍♂️	man_in_lotus_position_tone1	man_in_lotus_position_tone1,man_in_lotus_position_light_skin_tone
🧘🏼‍♂️	man_in_lotus_position_tone2	man_in_lotus_position_tone2,man_in_lotus_position_medium_light_skin_tone
🧘🏽‍♂️	man_in_lotus_position_tone3	man_in_lotus_position_tone3,man_in_lotus_position_medium_skin_tone
🧘🏾‍♂️	man_in_lotus_position_tone4	man_in_lotus_position_tone4,man_in_lotus_position_medium_dark_skin_tone
🧘🏿‍♂️	man_in_lotus_position_tone5	man_in_lotus_position_tone5,man_in_lotus_position_dark_skin_tone
🧘‍♀️	woman_in_lotus_position	woman_in_lotus_position
🧘🏻‍♀️	woman_in_lotus_position_tone1	woman_in_lotus_position_tone1,woman_in_lotus_position_light_skin_tone
🧘🏼‍♀️	woman_in_lotus_position_tone2	woman_in_lotus_position_tone2,woman_in_lotus_position_medium_light_skin_tone
🧘🏽‍♀️	woman_in_lotus_position_tone3	woman_in_lotus_position_tone3,woman_in_lotus_position_medium_skin_tone
🧘🏾‍♀️	woman_in_lotus_position_tone4	woman_in_lotus_position_tone4,woman_in_lotus_position_medium_dark_skin_tone
🧘🏿‍♀️	woman_in_lotus_position_tone5	woman_in_lotus_position_tone5,woman_in_lotus_position_dark_skin_tone
🛀	bath	bath
🛀🏻	bath_tone1	bath_tone1
🛀🏼	bath_tone2	bath_tone2
🛀🏽	bath_tone3	bath_tone3
🛀🏾	bath_tone4	bath_tone4
🛀🏿	bath_tone5	bath_tone5
🛌	sleeping_accommodation	sleeping_accommodation,person_in_bed
🛌🏻	person_in_bed_tone1	person_in_bed_tone1,person_in_bed_light_skin_tone
🛌🏼	person_in_bed_tone2	person_in_bed_tone2,person_in_bed_medium_light_skin_tone
🛌🏽	person_in_bed_tone3	person_in_bed_tone3,person_in_bed_medium_skin_tone
🛌🏾	person_in_bed_tone4	person_in_bed_tone4,person_in_bed_medium_dark_skin_tone
🛌🏿	person_in_bed_tone5	person_in_bed_tone5,person_in_bed_dark_skin_tone
🧑‍🤝‍🧑	people_holding_hands	people_holding_hands
🧑🏻‍🤝‍🧑🏻	people_holding_hands_tone1	people_holding_hands_tone1,people_holding_hands_light_skin_tone
🧑🏻‍🤝‍🧑🏼	people_holding_hands_tone1_tone2	people_holding_hands_tone1_tone2,people_holding_hands_light_skin_tone_medium_light_skin_tone
🧑🏻‍🤝‍🧑🏽	people_holding_hands_tone1_tone3	people_holding_hands_tone1_tone3,people_holding_hands_light_skin_tone_medium_skin_tone
🧑🏻‍🤝‍🧑🏾	people_holding_hands_tone1_tone4	people_holding_hands_tone1_tone4,people_holding_hands_light_skin_tone_medium_dark_skin_tone
🧑🏻‍🤝‍🧑🏿	people_holding_hands_tone1_tone5	people_holding_hands_tone1_tone5,people_holding_hands_light_skin_tone_dark_skin_tone
🧑🏼‍🤝‍🧑🏻	people_holding_hands_tone2_tone1	people_holding_hands_tone2_tone1,people_holding_hands_medium_light_skin_tone_light_skin_tone
🧑🏼‍🤝‍🧑🏼	people_holding_hands_tone2	people_holding_hands_tone2,people_holding_hands_medium_light_skin_tone
🧑🏼‍🤝‍🧑🏽	people_holding_hands_tone2_tone3	people_holding_hands_tone2_tone3,people_holding_hands_medium_light_skin_tone_medium_skin_tone
🧑🏼‍🤝‍🧑🏾	people_holding_hands_tone2_tone4	people_holding_hands_tone2_tone4,people_holding_hands_medium_light_skin_tone_medium_dark_skin_tone
🧑🏼‍🤝‍🧑🏿	people_holding_hands_tone2_tone5	people_holding_hands_tone2_tone5,people_holding_hands_medium_light_skin_tone_dark_skin_tone
🧑🏽‍🤝‍🧑🏻	people_holding_hands_tone3_tone1	people_holding_hands_tone3_tone1,people_holding_hands_medium_skin_tone_light_skin_tone
🧑🏽‍🤝‍🧑🏼	people_holding_hands_tone3_tone2	people_holding_hands_tone3_tone2,people_holding_hands_medium_skin_tone_medium_light_skin_tone
🧑🏽‍🤝‍🧑🏽	people_holding_hands_tone3	people_holding_hands_tone3,people_holding_hands_medium_skin_tone
🧑🏽‍🤝‍🧑🏾	people_holding_hands_tone3_tone4	people_holding_hands_tone3_tone4,people_holding_hands_medium_skin_tone_medium_dark_skin_tone
🧑🏽‍🤝‍🧑🏿	people_holding_hands_tone3_tone5	people_holding_hands_tone3_tone5,people_holding_hands_medium_skin_tone_dark_skin_tone
🧑🏾‍🤝‍🧑🏻	people_holding_hands_tone4_tone1	people_holding_hands_tone4_tone1,people_holding_hands_medium_dark_skin_tone_light_skin_tone
🧑🏾‍🤝‍🧑🏼	people_holding_hands_tone4_tone2	people_holding_hands_tone4_tone2,people_holding_hands_medium_dark_skin_tone_medium_light_skin_tone
🧑🏾‍🤝‍🧑🏽	people_holding_hands_tone4_tone3	people_holding_hands_tone4_tone3,people_holding_hands_medium_dark_skin_tone_medium_skin_tone
🧑🏾‍🤝‍🧑🏾	people_holding_hands_tone4	people_holding_hands_tone4,people_holding_hands_medium_dark_skin_tone
🧑🏾‍🤝‍🧑🏿	people_holding_hands_tone4_tone5	people_holding_hands_tone4_tone5,people_holding_hands_medium_dark_skin_tone_dark_skin_tone
🧑🏿‍🤝‍🧑🏻	people_holding_hands_tone5_tone1	people_holding_hands_tone5_tone1,people_holding_hands_dark_skin_tone_light_skin_tone
🧑🏿‍🤝‍🧑🏼	people_holding_hands_tone5_tone2	people_holding_hands_tone5_tone2,people_holding_hands_dark_skin_tone_medium_light_skin_tone
🧑🏿‍🤝‍🧑🏽	people_holding_hands_tone5_tone3	people_holding_hands_tone5_tone3,people_holding_hands_dark_skin_tone_medium_skin_tone
🧑🏿‍🤝‍🧑🏾	people_holding_hands_tone5_tone4	people_holding_hands_tone5_tone4,people_holding_hands_dark_skin_tone_medium_dark_skin_tone
🧑🏿‍🤝‍🧑🏿	people_holding_hands_tone5	people_holding_hands_tone5,people_holding_hands_dark_skin_tone
